row,date,description,town,lat,lon,status
61,25/05/2026,Command room tayr harfa,Tayr Harfa,33.126925,35.21875556,mapped
62,24/05/2026,Namer apc taybeh,Taybeh,33.27614167,35.52115278,mapped
63,24/05/2026,humvee manara,Manara,33.19809722,35.54392778,mapped
64,23/05/2026,Soldier Gathering Bayyadah,Al Bayada / Bayyadah,33.16242222,35.18071389,mapped
65,23/05/2026,Two iron dome platforms ramim,Ramim Ridge,33.19026667,35.54089722,mapped
66,23/05/2026,Soldiers taybeh,Taybeh,33.27614167,35.52115278,mapped
67,23/05/2026,Anti drone system jardah,Border Israel in front of Alma al-Shaab,33.09190833,35.18313611,mapped
68,22/05/2026,Soldier manara,Manara,33.19809722,35.54392778,mapped
69,22/05/2026,Merkava tank markaba,Markaba,33.23274722,35.51663333,mapped
70,21/05/2026,Engineering vehicle khallet al raj deir siryan,Deir Seryan / Khallet al-Raj,33.291775,35.50118611,mapped
71,20/05/2026,Namer apc hadatha,Haddatha,33.16537778,35.39011389,mapped
72,20/05/2026,Armored brigade 401 hq debel,Dibel / Debel,33.12090278,35.36613611,mapped
73,19/05/2026,Military vehicle misgav am,Misgav Am,33.24803333,35.54877778,mapped
74,19/05/2026,iron dome platform misgav am,Misgav Am,33.24803333,35.54877778,mapped
75,19/05/2026,iron dome platform jal al alam,Border near Rosh HaNikra,33.08693889,35.15468611,mapped
76,19/05/2026,communications vehicle taybeh,Taybeh,33.27614167,35.52115278,mapped
77,19/05/2026,engineering vehicle khiam,Khiam,33.32690833,35.61120556,mapped
78,18/05/2026,Iron dome platform shomera,"Near Shomera (Israel), approx",33.09319722,35.28620556,mapped
